id,name,markers,location,meaning,tagline,timestamp
15,Acamas,[],"Athens, Attica","""unyielding, unending""",Prince of Athens | son of Theseus and Phaedra; brother of Demophon; half-brother of Hippolytus,2026-03-19 19:08:32.115927+00
16,Demophon,[],"Athens, Attica","""voice of the people""",Prince of Athens | son of Theseus and Phaedra; brother of Acamas; half-brother of Hippolytus,2026-03-19 19:08:32.115927+00
17,Aethra,[],"Troezen, Attica","""bright sky""",Queen of Troezen | mothered Theseus with Aegeus,2026-03-19 19:08:32.115927+00
18,Theseus,[],"Troezen, Attica","""to place, to establish""","King of Athens | fathered Acamas and Demophon with Phaedra, and Hippolytus with Hippolyta; son of Aethra",2026-03-19 19:08:32.115927+00
19,Hecuba,[],"Western Thrace, Thrace","""???""","Queen of Troy | mothered Cassandra, Creusa, Deiphobus, Hector, Helenus, Ilione, Laodice, Paris, Polyxena, and Troilus with Priam; sister of Theano",2026-03-19 19:08:32.115927+00
20,Helen,"[""Demigod""]","Sparta, Laconia","""torch, moon""",Queen of Sparta | mothered Hermione with Menelaus; daughter of Leda and Zeus; sister of Pollux; half-sister of Castor and Clytemnestra,2026-03-19 19:08:32.115927+00
21,Penelope,[],"Sparta, Laconia","""threads""",Queen of Ithaca | mothered Telemachus with Odysseus; daughter of Icarius and Periboea (Sparta); sister of Iphthime,2026-03-19 19:08:32.115927+00
22,Harpalyce,[],"Amymnaia, Thrace","""plundering light""",Princess of Amymnaia | daughter of Harpalycus,2026-03-19 19:08:32.115927+00
23,Achilles,"[""Demigod""]","Phthia, Thessaly","""pain, grief""",Prince of Phthia | fathered Neoptolemus with Deidamia; son of Peleus and Thetis,2026-03-19 19:08:32.115927+00
24,Clytemnestra,[],"Sparta, Laconia","""noble schemer""","Queen of Mycenae | mothered Chrysothemis, Electra, Iphigenia, and Orestes with Agamemnon; daughter of Leda and Tyndareus; sister of Castor; half-sister of Helen and Pollux",2026-03-19 19:08:32.115927+00
28,Machaon,"[""Demigod""]","Tricca, Thessaly (Central Greece)",,Noble of Tricca | son of Asclepius; brother of Podalirius,2026-03-19 19:08:32.115927+00
30,Diomedes,[],"Argos, Argolis",,King of Argos | husband of Aegiale; son of Deipyle and Tydeus,2026-03-19 19:08:32.115927+00
31,Ajax the Lesser,[],"Naryx, Locris",,Prince of Locris | son of Oileus and Eriopis; half-brother of Medon,2026-03-19 19:08:32.115927+00
32,Sthenelus,[],"Argos, Argolis",,Charioteer of Argos | fathered Cometes,2026-03-19 19:08:32.115927+00
33,Aeneas,"[""Demigod""]","Dardania, Troad",,Prince of Troy | fathered Ascanius with Creusa; son of Anchises and Aphrodite,2026-03-19 19:08:32.115927+00
34,Glaucus,[],"Xanthos, Lycia",,Noble of Xanthos | son of Hippolochus,2026-03-19 19:08:32.115927+00
37,Atalanta,[],"Mount Parthenion, Arcadia",,Princess of Arcadia | daughter of Clymene and Iasus,2026-03-19 19:08:32.115927+00
38,Meleager,[],"Calydon, Aetolia",,Prince of Calydon | son of Althaea and Oeneus,2026-03-19 19:08:32.115927+00
40,Telamon,[],"Aegina, Attica",,King of Salamis | fathered Ajax the Great with Periboea and Teucer with Hesione; brother of Peleus,2026-03-19 19:08:32.115927+00
